id_reg_nat,time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),id_area
1460,2021-11-16,13.8,22.2,24.5,294,1.36,2
1461,2021-11-17,13.7,16.3,15.9,346,0.79,2
1462,2021-11-18,14.2,2.4,16.1,79,1.48,2
1463,2021-11-19,13.1,0.0,17.7,72,1.66,2
1464,2021-11-20,15.8,0.3,10.8,138,1.61,2
1465,2021-11-21,14.7,2.7,22.9,247,1.85,2
1466,2021-11-22,13.1,0.8,15.5,258,1.24,2
1467,2021-11-23,13.5,0.3,10.0,200,1.81,2
1468,2021-11-24,12.9,8.0,20.2,235,1.63,2
1469,2021-11-25,12.3,0.1,25.3,241,2.09,2
1470,2021-11-26,11.7,2.6,20.9,245,1.33,2
1471,2021-11-27,11.5,3.2,27.6,240,1.89,2
1472,2021-11-28,8.8,15.6,28.1,253,1.28,2
1473,2021-11-29,13.2,2.0,38.2,262,2.48,2
1474,2021-11-30,12.6,0.8,16.8,247,1.54,2
1475,2021-12-01,11.4,0.0,14.6,232,1.72,2
1476,2021-12-02,11.1,18.6,23.0,249,0.99,2
1477,2021-12-03,9.7,9.2,23.7,288,1.23,2
1478,2021-12-04,11.3,0.0,18.0,238,2.17,2
1479,2021-12-05,12.3,3.1,28.6,266,2.09,2
1480,2021-12-06,12.4,1.1,30.6,297,2.93,2
1481,2021-12-07,12.8,0.0,15.5,238,2.03,2
1482,2021-12-08,14.2,8.8,30.9,245,2.53,2
1483,2021-12-09,13.1,0.1,32.7,279,3.25,2
1484,2021-12-10,14.3,0.0,30.9,249,2.57,2
1485,2021-12-11,13.2,2.8,29.6,282,1.25,2
1486,2021-12-12,11.4,0.2,12.6,98,1.38,2
1487,2021-12-13,10.3,0.0,18.3,73,1.48,2
1488,2021-12-14,8.2,0.0,10.8,52,1.36,2
1489,2021-12-15,9.9,0.0,15.3,73,1.29,2
1490,2021-12-16,9.7,0.0,17.1,71,1.47,2
1491,2021-12-17,9.7,0.0,13.2,65,1.42,2
1492,2021-12-18,11.2,0.5,15.8,59,1.36,2
1493,2021-12-19,10.6,0.0,12.2,73,1.27,2
1494,2021-12-20,10.5,0.0,10.3,255,1.29,2
1495,2021-12-21,12.0,0.0,9.2,232,1.44,2
1496,2021-12-22,12.7,0.0,17.4,263,1.49,2
1497,2021-12-23,12.0,0.0,9.2,196,1.34,2
1498,2021-12-24,13.7,0.0,10.1,213,1.69,2
1499,2021-12-25,14.7,0.0,16.4,239,1.82,2
1500,2021-12-26,15.7,0.0,26.0,248,1.89,2
1501,2021-12-27,16.5,0.0,25.7,253,2.14,2
1502,2021-12-28,15.7,0.0,23.7,259,1.96,2
1503,2021-12-29,13.9,0.0,14.1,256,1.74,2
1504,2021-12-30,12.2,0.0,10.1,297,1.48,2
1505,2021-12-31,11.2,0.0,9.7,36,1.36,2
1506,2022-01-01,11.1,0.0,8.7,47,1.29,2
1507,2022-01-02,10.4,0.0,8.7,7,1.28,2
1508,2022-01-03,10.9,0.0,7.9,29,1.36,2
1509,2022-01-04,11.8,0.0,16.1,273,1.71,2
1510,2022-01-05,12.8,1.0,31.8,258,2.61,2
1511,2022-01-06,8.9,7.4,18.2,244,0.97,2
1512,2022-01-07,8.2,0.8,15.3,266,1.28,2
1513,2022-01-08,9.7,0.0,23.0,253,1.8,2
1514,2022-01-09,12.2,0.0,31.0,257,2.84,2
1515,2022-01-10,14.5,1.1,31.0,275,1.78,2
1516,2022-01-11,11.2,0.5,18.3,11,1.62,2
1517,2022-01-12,9.9,0.5,17.8,26,1.36,2
1518,2022-01-13,9.5,1.7,8.5,45,1.14,2
1519,2022-01-14,8.5,0.0,14.3,67,1.4,2
1520,2022-01-15,8.7,0.0,14.3,65,1.5,2
1521,2022-01-16,8.6,0.0,10.7,78,1.5,2
1522,2022-01-17,8.7,0.0,11.1,94,1.56,2
1523,2022-01-18,8.1,0.0,9.7,99,1.57,2
1524,2022-01-19,9.2,0.0,8.5,255,1.73,2
1525,2022-01-20,8.7,0.0,9.6,343,1.58,2
1526,2022-01-21,8.7,0.0,13.6,59,1.58,2
1527,2022-01-22,9.3,0.4,14.2,75,1.34,2
1528,2022-01-23,8.4,0.0,18.5,73,1.69,2
1529,2022-01-24,8.6,0.0,13.4,103,1.8,2
1530,2022-01-25,9.0,0.0,20.6,65,1.83,2
1531,2022-01-26,11.2,0.0,11.8,40,1.88,2
1532,2022-01-27,10.6,0.0,11.9,331,1.99,2
1533,2022-01-28,9.2,0.0,15.3,43,1.86,2
1534,2022-01-29,10.0,0.0,8.5,289,1.96,2
1535,2022-01-30,9.0,0.0,9.8,187,1.87,2
1536,2022-01-31,11.2,0.0,21.2,271,2.4,2
1537,2022-02-01,10.6,0.9,16.9,13,1.38,2
1538,2022-02-02,11.0,0.0,16.1,254,2.3,2
1539,2022-02-03,14.4,0.0,17.1,218,2.8,2
1540,2022-02-04,12.8,0.0,9.5,269,2.32,2
1541,2022-02-05,12.5,0.0,16.8,53,1.87,2
1542,2022-02-06,12.4,0.0,22.4,66,1.82,2
1543,2022-02-07,10.4,0.0,12.2,58,1.9,2
1544,2022-02-08,9.8,0.0,15.0,81,2.1,2
1545,2022-02-09,10.6,0.0,9.9,53,2.12,2
1546,2022-02-10,10.5,0.0,13.7,321,2.08,2
1547,2022-02-11,10.7,0.2,12.2,31,1.58,2
1548,2022-02-12,10.9,0.3,13.5,63,1.54,2
1549,2022-02-13,10.3,0.0,12.3,1,2.0,2
1550,2022-02-14,11.4,3.3,21.7,266,2.46,2
1551,2022-02-15,11.2,0.5,18.6,269,2.25,2
1552,2022-02-16,11.3,0.0,21.5,256,2.64,2
1553,2022-02-17,12.3,0.0,18.7,259,2.84,2
1554,2022-02-18,13.7,0.0,13.0,75,2.85,2
1555,2022-02-19,14.1,0.0,19.6,271,2.33,2
1556,2022-02-20,12.7,0.5,21.0,58,2.32,2
1557,2022-02-21,11.4,0.0,10.2,277,2.42,2
1558,2022-02-22,11.9,0.0,11.9,331,2.41,2
1559,2022-02-23,11.9,0.0,24.2,70,2.69,2
1560,2022-02-24,14.4,0.0,12.6,331,3.29,2
1561,2022-02-25,12.9,0.0,23.7,61,2.03,2
1562,2022-02-26,12.5,0.0,24.6,68,2.11,2
1563,2022-02-27,11.8,8.4,21.8,60,1.01,2
1564,2022-02-28,9.5,10.4,25.7,56,1.41,2
1565,2022-03-01,9.3,0.0,14.0,85,2.46,2
1566,2022-03-02,10.7,0.0,9.6,312,2.73,2
1567,2022-03-03,11.4,0.1,20.9,264,2.56,2
1568,2022-03-04,11.0,14.0,13.5,243,1.07,2
1569,2022-03-05,10.8,5.8,12.5,7,1.69,2
1570,2022-03-06,10.5,8.3,12.5,89,1.33,2
1571,2022-03-07,10.4,0.6,12.5,40,2.29,2
1572,2022-03-08,10.7,4.8,15.6,262,1.59,2
1573,2022-03-09,11.2,1.3,12.4,1,2.38,2
1574,2022-03-10,12.7,0.0,13.4,30,2.55,2
1575,2022-03-11,12.5,0.0,9.8,304,2.22,2
1576,2022-03-12,13.1,3.9,27.8,252,2.38,2
1577,2022-03-13,13.0,0.2,11.3,276,1.96,2
1578,2022-03-14,19.1,0.0,37.6,124,4.82,2
1579,2022-03-15,21.2,0.0,54.6,157,7.55,2
1580,2022-03-16,16.6,2.2,36.1,108,2.66,2
1581,2022-03-17,12.2,6.3,15.5,265,1.77,2
1582,2022-03-18,12.6,6.2,15.1,331,1.97,2
1583,2022-03-19,12.4,3.4,17.3,16,1.53,2
1584,2022-03-20,12.8,1.5,16.1,75,2.19,2
1585,2022-03-21,15.5,11.1,26.2,126,3.39,2
1586,2022-03-22,14.0,2.5,17.0,64,2.53,2
1587,2022-03-23,14.5,2.2,19.2,109,1.71,2
1588,2022-03-24,16.7,0.0,19.1,106,4.3,2
1589,2022-03-25,15.8,0.4,23.5,61,3.12,2
1590,2022-03-26,14.1,0.2,17.9,276,2.85,2
1591,2022-03-27,13.8,1.1,17.3,283,2.6,2
1592,2022-03-28,13.3,0.0,18.4,54,2.47,2
1593,2022-03-29,19.1,0.1,30.7,206,4.46,2
1594,2022-03-30,14.8,1.6,25.1,268,2.32,2
1595,2022-03-31,12.9,11.2,30.2,267,2.27,2
1596,2022-04-01,11.8,3.8,32.1,273,2.38,2
1597,2022-04-02,10.1,1.1,20.9,292,2.85,2
1598,2022-04-03,9.6,0.4,25.7,70,2.09,2
1599,2022-04-04,13.0,6.4,39.3,70,1.7,2
1600,2022-04-05,14.3,9.5,30.9,63,2.45,2
1601,2022-04-06,12.9,0.9,31.1,263,2.84,2
1602,2022-04-07,14.1,0.0,17.0,256,3.84,2
1603,2022-04-08,14.7,0.0,18.6,261,4.29,2
1604,2022-04-09,15.6,0.0,21.3,271,4.17,2
1605,2022-04-10,14.7,0.0,22.7,53,3.59,2
1606,2022-04-11,22.8,0.0,30.2,169,6.8,2
1607,2022-04-12,17.2,5.8,24.4,277,3.34,2
1608,2022-04-13,13.1,41.7,11.9,295,0.88,2
1609,2022-04-14,13.9,28.3,23.5,251,2.44,2
1610,2022-04-15,14.2,10.9,27.8,32,1.42,2
1611,2022-04-16,14.5,0.1,17.1,265,3.63,2
1612,2022-04-17,15.6,0.0,14.2,342,4.13,2
1613,2022-04-18,15.7,0.0,14.0,50,4.05,2
1614,2022-04-19,16.8,0.0,17.1,272,3.99,2
1615,2022-04-20,15.1,9.9,26.0,259,3.46,2
1616,2022-04-21,13.1,4.0,36.7,260,3.14,2
1617,2022-04-22,15.3,0.0,19.3,259,4.69,2
1618,2022-04-23,15.3,0.0,36.8,252,4.09,2
1619,2022-04-24,15.1,0.0,17.9,271,4.11,2
1620,2022-04-25,14.3,0.0,18.9,51,3.4,2
1621,2022-04-26,15.5,0.0,19.1,50,3.44,2
1622,2022-04-27,16.0,1.0,24.3,268,2.38,2
1623,2022-04-28,14.2,10.3,13.4,281,1.64,2
1624,2022-04-29,15.3,1.5,22.8,27,2.76,2
1625,2022-04-30,15.4,0.0,14.5,312,3.82,2
1626,2022-05-01,16.2,0.0,11.2,272,4.29,2
1627,2022-05-02,17.9,0.3,11.9,244,3.61,2
1628,2022-05-03,16.5,1.8,16.6,53,3.05,2
1629,2022-05-04,17.5,4.5,26.9,42,3.53,2
1630,2022-05-05,15.4,23.6,23.8,327,1.12,2
1631,2022-05-06,16.0,0.0,16.9,279,3.94,2
1632,2022-05-07,15.8,0.0,13.8,341,3.77,2
1633,2022-05-08,17.0,0.0,12.8,59,4.75,2
1634,2022-05-09,17.4,0.0,19.6,53,4.6,2
1635,2022-05-10,16.7,0.0,15.7,45,4.22,2
1636,2022-05-11,16.5,0.0,18.1,49,4.16,2
1637,2022-05-12,21.1,0.0,16.5,46,5.52,2
1638,2022-05-13,19.4,0.0,18.4,286,4.66,2
1639,2022-05-14,18.4,0.0,15.3,35,4.28,2
1640,2022-05-15,20.4,0.0,17.5,334,4.48,2
1641,2022-05-16,19.8,0.0,12.6,313,4.63,2
1642,2022-05-17,19.5,0.0,12.3,19,4.65,2
1643,2022-05-18,19.1,0.0,16.2,41,4.4,2
1644,2022-05-19,20.8,0.0,16.9,41,5.2,2
1645,2022-05-20,22.7,0.0,18.7,41,5.76,2
1646,2022-05-21,23.3,0.0,17.1,37,5.64,2
1647,2022-05-22,25.2,0.0,20.1,276,6.16,2
1648,2022-05-23,22.4,0.0,23.5,266,5.64,2
1649,2022-05-24,22.3,0.0,14.5,345,5.4,2
1650,2022-05-25,18.8,3.2,25.1,285,2.93,2
1651,2022-05-26,16.6,15.9,18.4,306,3.11,2
1652,2022-05-27,18.7,0.0,19.1,274,4.17,2
1653,2022-05-28,21.2,0.0,12.8,329,5.7,2
1654,2022-05-29,23.6,0.0,14.0,281,5.89,2
1655,2022-05-30,23.0,0.0,22.2,272,5.85,2
1656,2022-05-31,21.7,0.0,14.1,36,5.14,2
1657,2022-06-01,21.4,0.0,15.5,357,4.62,2
1658,2022-06-02,22.0,0.0,15.8,298,4.86,2
1659,2022-06-03,22.8,0.1,14.3,323,4.76,2
1660,2022-06-04,23.0,0.0,21.3,293,5.22,2
1661,2022-06-05,23.3,0.0,14.4,13,5.02,2
1662,2022-06-06,22.5,0.0,18.9,30,4.99,2
1663,2022-06-07,22.0,0.0,14.6,18,4.92,2
1664,2022-06-08,23.6,0.0,15.3,292,5.84,2
1665,2022-06-09,22.6,0.0,18.6,40,5.03,2
1666,2022-06-10,22.5,0.0,26.1,63,5.89,2
1667,2022-06-11,21.3,0.0,21.4,56,5.54,2
1668,2022-06-12,21.8,0.0,20.1,45,5.67,2
1669,2022-06-13,23.0,0.0,18.0,33,5.9,2
1670,2022-06-14,25.6,0.0,17.9,8,6.33,2
1671,2022-06-15,24.9,0.0,17.8,26,5.95,2
1672,2022-06-16,24.4,0.0,19.5,35,5.94,2
1673,2022-06-17,24.6,0.0,18.6,38,6.33,2
1674,2022-06-18,25.1,0.0,18.9,37,6.29,2
1675,2022-06-19,24.7,0.0,20.0,304,5.98,2
1676,2022-06-20,23.9,0.0,18.7,344,5.12,2
1677,2022-06-21,25.1,0.0,23.5,333,5.73,2
1678,2022-06-22,23.2,2.3,18.7,313,4.45,2
1679,2022-06-23,22.7,1.5,14.4,13,3.84,2
1680,2022-06-24,22.7,5.9,20.4,291,3.79,2
1681,2022-06-25,23.1,0.0,14.6,4,5.52,2
1682,2022-06-26,23.2,0.0,16.4,312,5.59,2
1683,2022-06-27,23.3,0.0,21.9,295,5.77,2
1684,2022-06-28,22.6,0.0,17.4,30,5.17,2
1685,2022-06-29,23.1,0.0,24.7,45,5.05,2
1686,2022-06-30,23.9,0.0,16.2,332,4.72,2
1687,2022-07-01,24.3,0.1,22.7,41,4.0,2
1688,2022-07-02,24.6,0.0,24.8,42,4.61,2
1689,2022-07-03,26.7,0.0,20.6,351,5.39,2
1690,2022-07-04,25.4,0.0,20.1,325,5.27,2
1691,2022-07-05,25.1,0.0,16.8,34,4.72,2
1692,2022-07-06,26.1,0.0,20.6,22,5.11,2
1693,2022-07-07,25.0,0.4,19.6,8,5.04,2
1694,2022-07-08,24.3,0.0,24.3,46,5.31,2
1695,2022-07-09,23.4,0.0,16.0,38,5.15,2
1696,2022-07-10,23.7,0.0,20.1,51,5.68,2
1697,2022-07-11,23.7,0.0,24.7,50,5.58,2
1698,2022-07-12,25.2,0.0,19.3,38,5.37,2
1699,2022-07-13,24.8,0.0,18.8,32,5.08,2
1700,2022-07-14,24.1,0.0,21.2,43,5.47,2
1701,2022-07-15,24.2,0.0,22.7,43,5.35,2
1702,2022-07-16,24.2,0.0,20.1,42,5.19,2
1703,2022-07-17,24.3,0.0,18.2,37,5.39,2
1704,2022-07-18,23.9,0.0,16.2,37,5.02,2
1705,2022-07-19,24.1,0.0,15.0,35,4.68,2
1706,2022-07-20,24.0,0.0,15.8,42,4.94,2
1707,2022-07-21,24.6,0.0,19.9,45,4.9,2
1708,2022-07-22,25.3,0.0,13.7,345,5.04,2
1709,2022-07-23,25.5,0.0,15.7,35,5.05,2
1710,2022-07-24,25.9,0.0,14.3,4,5.44,2
1711,2022-07-25,26.6,0.0,15.2,325,5.7,2
1712,2022-07-26,26.3,0.0,17.2,37,5.45,2
1713,2022-07-27,25.9,0.0,19.0,47,5.16,2
1714,2022-07-28,25.9,0.0,14.0,357,5.52,2
1715,2022-07-29,26.2,0.0,13.3,5,5.42,2
1716,2022-07-30,26.0,0.0,20.2,54,5.02,2
1717,2022-07-31,26.5,0.0,25.9,46,5.25,2
1718,2022-08-01,25.5,0.0,16.3,40,5.17,2
1719,2022-08-02,25.3,0.0,17.2,44,5.37,2
1720,2022-08-03,25.0,0.0,20.4,43,5.31,2
1721,2022-08-04,24.9,0.0,20.4,44,4.95,2
1722,2022-08-05,25.4,0.0,17.8,55,4.62,2
1723,2022-08-06,25.3,0.0,21.9,46,5.14,2
1724,2022-08-07,25.5,0.0,20.9,44,5.47,2
1725,2022-08-08,25.3,0.0,18.8,35,5.35,2
1726,2022-08-09,25.7,0.0,23.6,47,5.27,2
1727,2022-08-10,25.6,0.0,24.7,50,5.67,2
1728,2022-08-11,26.0,0.0,25.5,46,6.04,2
1729,2022-08-12,25.5,0.0,15.4,25,5.53,2
1730,2022-08-13,29.6,0.0,23.2,321,6.53,2
1731,2022-08-14,31.3,0.0,16.7,8,6.7,2
1732,2022-08-15,29.3,0.1,22.9,286,5.93,2
1733,2022-08-16,26.9,0.1,18.6,356,4.09,2
1734,2022-08-17,26.5,0.1,17.6,279,5.56,2
1735,2022-08-18,25.3,0.0,20.9,297,5.52,2
1736,2022-08-19,24.7,0.0,15.6,29,5.12,2
1737,2022-08-20,23.8,0.0,17.1,57,5.1,2
1738,2022-08-21,24.0,0.0,13.0,2,5.03,2
1739,2022-08-22,25.1,0.0,19.6,48,5.16,2
1740,2022-08-23,25.3,0.0,24.6,58,5.37,2
1741,2022-08-24,25.4,0.0,20.5,52,5.35,2
1742,2022-08-25,25.8,0.0,22.0,49,5.14,2
1743,2022-08-26,25.6,0.1,24.1,24,4.72,2
1744,2022-08-27,25.5,0.5,21.9,50,4.85,2
1745,2022-08-28,25.6,0.0,21.7,49,4.72,2
1746,2022-08-29,27.0,0.0,14.8,28,4.98,2
1747,2022-08-30,28.3,0.0,17.8,360,5.4,2
1748,2022-08-31,27.0,1.9,22.3,277,3.32,2
1749,2022-09-01,27.1,0.0,14.8,30,5.18,2
1750,2022-09-02,28.4,0.0,22.7,295,5.09,2
1751,2022-09-03,28.8,0.0,19.2,320,4.8,2
1752,2022-09-04,26.9,0.0,18.5,289,4.62,2
1753,2022-09-05,26.3,0.0,21.9,302,4.51,2
1754,2022-09-06,27.4,0.0,15.6,253,4.69,2
1755,2022-09-07,26.7,0.0,16.0,354,4.3,2
1756,2022-09-08,25.9,0.0,16.5,329,4.93,2
1757,2022-09-09,24.9,0.0,14.6,15,4.55,2
1758,2022-09-10,24.9,0.0,18.6,51,4.42,2
1759,2022-09-11,26.0,0.0,16.3,37,4.78,2
1760,2022-09-12,29.0,0.0,18.4,15,5.06,2
1761,2022-09-13,30.2,0.0,17.6,332,5.85,2
1762,2022-09-14,26.9,0.0,18.1,297,4.45,2
1763,2022-09-15,25.5,0.0,21.0,273,4.0,2
1764,2022-09-16,23.7,0.1,15.9,309,4.04,2
1765,2022-09-17,24.3,0.1,21.8,54,4.18,2
1766,2022-09-18,25.0,0.0,36.7,63,4.87,2
1767,2022-09-19,24.6,0.0,21.6,56,4.15,2
1768,2022-09-20,24.4,0.2,18.8,50,4.21,2
1769,2022-09-21,23.2,2.3,23.5,58,3.24,2
1770,2022-09-22,21.4,2.7,19.4,19,2.99,2
1771,2022-09-23,21.6,0.3,14.9,47,3.56,2
1772,2022-09-24,26.1,0.0,15.3,232,4.67,2
1773,2022-09-25,23.7,0.6,16.2,214,2.9,2
1774,2022-09-26,22.5,0.6,27.6,265,3.19,2
1775,2022-09-27,21.2,0.6,30.2,265,4.02,2
1776,2022-09-28,21.3,0.0,31.6,260,4.65,2
1777,2022-09-29,21.1,0.0,29.1,257,4.85,2
1778,2022-09-30,18.4,3.8,24.7,268,2.52,2
1779,2022-10-01,18.9,0.0,17.6,34,3.31,2
1780,2022-10-02,20.7,0.0,15.5,48,3.61,2
1781,2022-10-03,23.2,0.4,15.9,41,3.45,2
1782,2022-10-04,21.5,0.9,16.0,291,2.6,2
1783,2022-10-05,19.8,1.1,16.4,61,1.73,2
1784,2022-10-06,22.1,0.2,14.8,112,3.05,2
1785,2022-10-07,23.6,0.1,17.8,170,3.71,2
1786,2022-10-08,23.2,0.2,15.9,33,3.52,2
1787,2022-10-09,22.0,0.0,20.9,56,3.1,2
1788,2022-10-10,21.9,0.0,13.0,336,3.25,2
1789,2022-10-11,21.3,0.4,17.7,311,3.07,2
1790,2022-10-12,20.9,7.5,14.5,280,2.65,2
1791,2022-10-13,20.3,0.5,15.2,44,2.63,2
1792,2022-10-14,19.3,0.0,12.2,27,2.84,2
1793,2022-10-15,21.3,0.0,11.3,25,3.43,2
1794,2022-10-16,22.4,0.0,14.5,316,3.36,2
1795,2022-10-17,24.1,0.0,12.6,356,3.52,2
1796,2022-10-18,23.6,0.0,16.3,16,3.38,2
1797,2022-10-19,24.4,0.0,10.2,20,3.49,2
1798,2022-10-20,24.3,0.0,14.3,326,3.82,2
1799,2022-10-21,22.7,0.0,12.0,339,3.03,2
1800,2022-10-22,24.2,0.0,16.7,5,3.88,2
1801,2022-10-23,26.9,0.0,20.0,194,5.52,2
1802,2022-10-24,25.5,0.0,13.7,177,5.14,2
1803,2022-10-25,24.7,0.0,14.3,178,4.95,2
1804,2022-10-26,23.2,0.0,13.5,247,3.76,2
1805,2022-10-27,22.4,0.0,12.3,342,3.44,2
1806,2022-10-28,21.3,0.0,12.2,6,3.05,2
1807,2022-10-29,20.2,0.0,13.8,31,2.65,2
1808,2022-10-30,19.8,0.0,10.9,14,2.23,2
1809,2022-10-31,19.6,0.0,9.7,35,2.53,2
1810,2022-11-01,20.5,0.0,18.0,11,2.2,2
1811,2022-11-02,19.7,0.0,12.1,331,2.34,2
1812,2022-11-03,19.8,0.0,14.8,270,2.61,2
1813,2022-11-04,18.7,4.0,27.4,276,1.88,2
1814,2022-11-05,16.7,0.0,15.6,308,2.82,2
1815,2022-11-06,16.7,0.0,10.0,218,2.52,2
1816,2022-11-07,17.7,0.0,11.7,54,2.5,2
1817,2022-11-08,18.4,0.0,9.4,307,2.52,2
1818,2022-11-09,18.9,0.0,9.8,281,2.1,2
1819,2022-11-10,17.9,1.9,16.4,268,1.87,2
1820,2022-11-11,18.6,0.0,17.5,84,2.64,2
1821,2022-11-12,19.3,0.0,13.7,71,2.59,2
1822,2022-11-13,17.9,0.0,14.0,40,2.23,2
1823,2022-11-14,17.3,0.0,14.5,262,2.34,2
1824,2022-11-15,18.3,0.0,21.8,254,3.46,2
1825,2022-11-16,19.0,3.7,27.8,245,2.69,2
1826,2022-11-17,20.1,0.7,26.3,253,3.21,2
