Country, Variable, Unit, Symbol, "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Algeria, % of agricultural GVA produced by irrigated agriculture, %, E, 11.27, 11.49, 12.77, 13.92, 15.03, 16.11, 17.16, 18.9, 20.08, 21.13, 22.16, 23.18, 24.19, 25.15, 26.1, 27.04, 27.97, 27.97, 27.97, 27.97, 27.97
Algeria, % of agricultural water managed area equipped for irrigation, %, E, , 100, , , , , , , 100, , , , 100, , , 100, 100, 100, , , 
Algeria, % of agricultural water managed area equipped for irrigation, %, I, 100, , 100, 100, 100, 100, 100, 100, , 100, 100, 100, , 100, 100, , , , 100, 100, 100
Algeria, % of area equipped for full control irrigation actually irrigated, %, E, , 88.29, 88.44, 88.55, 88.65, 88.74, 88.81, 88.87, 88.92, 88.04, 87.27, 86.59, 85.99, 85.38, 84.78, 84.19, 80.32, 77.13, 77.13, 77.13, 77.13
Algeria, % of area equipped for irrigation by direct use of  treated municipal wastewater, %, E, , , , , , , 0.05, 0.06, 0.07, 0.08, 0.09, 0.09, 0.1, 0.1, 0.1, 0.1, 0.09, 0.09, 0.09, 0.09, 0.09
Algeria, % of area equipped for irrigation by groundwater , %, E, 60.07, 61.8, 63.36, 64.67, 65.78, 66.74, 67.57, 68.29, 68.93, 68.78, 68.65, 68.53, 68.43, 67.97, 67.51, 67.06, 64.1, 61.66, 61.66, 61.66, 61.66
Algeria, % of area equipped for irrigation by mixed surface water and groundwater, %, E, , 2.11, 1.95, 1.82, 1.71, 1.61, 1.53, 1.46, 1.39, 1.32, 1.26, 1.2, 1.15, 1.15, 1.14, 1.13, 1.08, 1.04, 1.04, 1.04, 1.04
Algeria, % of area equipped for irrigation by surface water, %, E, 34.55, 36.19, 35.37, 34.68, 34.09, 33.59, 33.16, 32.77, 32.44, 31.81, 31.25, 30.76, 30.32, 30.11, 29.91, 29.71, 28.4, 27.32, 27.32, 27.32, 27.32
Algeria, % of area equipped for irrigation drained, %, E, 10.75, 10.72, 9.76, 8.96, 8.27, 7.69, 7.18, 6.74, 6.34, 5.93, 5.57, 5.25, 4.96, 4.93, 4.9, 4.87, 4.65, 4.47, 4.47, 4.47, 4.47
Algeria, % of irrigation potential equipped for irrigation, %, E, , 43.8, , , , , , , 74.05, 79.19, 84.33, 89.47, 94.61, 95.25, 95.89, 96.54, 101, 105, 105, 105, 105
Algeria, % of irrigation potential equipped for irrigation, %, I, 43.68, , 48.12, 52.44, 56.76, 61.09, 65.41, 69.73, , , , , , , , , , , , , 
Algeria, % of the area equipped for irrigation actually irrigated, %, E, 78.12, 79.6, 80.76, 81.73, 82.54, 83.25, 83.86, 84.39, 84.86, 85.38, 85.83, 86.23, 86.59, 86.01, 85.43, 84.86, 81.11, 78.02, 78.02, 78.02, 78.02
Algeria, % of the cultivated area equipped for irrigation, %, E, 6.93, 6.98, 7.62, 8.27, 8.9, 9.5, 10.15, 10.8, 11.46, 12.26, 13.03, 13.81, 14.59, 14.68, 14.77, 14.83, 15.6, 16.09, 16.03, 16.03, 16.03
Algeria, % of total country area cultivated, %, E, 3.44, 3.43, 3.45, 3.46, 3.48, 3.51, 3.52, 3.52, 3.53, 3.53, 3.53, 3.54, 3.54, 3.54, 3.54, 3.55, 3.53, 3.56, 3.58, 3.58, 3.58
Algeria, % of total cultivated area drained, %, E, , 0.75, 0.74, 0.74, 0.74, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.72, 0.72, 0.72, 0.72, 0.73, 0.72, 0.72, 0.72, 0.72
Algeria, % of total cultivated area drained, %, I, 0.75, , , , , , , , , , , , , , , , , , , , 
Algeria, Agricultural water withdrawal as % of total renewable water resources, %, E, , 30.02, , , , , , , , , , , 42.77, , , 53.24, 54.86, 57.18, , , 
Algeria, Agricultural water withdrawal as % of total renewable water resources, %, I, 29.39, , 31.18, 32.34, 33.49, 34.65, 35.81, 36.97, 38.13, 39.29, 40.45, 41.61, , 46.26, 49.75, , , , 57.18, 57.18, 57.18
Algeria, Agriculture, value added (% GDP), %, X, 8.5, 9.79, 9.31, 9.81, 9.44, 7.69, 7.54, 7.57, 6.59, 9.34, 8.47, 8.11, 8.77, 9.85, 10.29, 11.58, 12.22, 11.76, 11.84, 12.38, 14.05
Algeria, Agriculture, value added to GDP, current US$, X, 4647015416, 5392216075, 5290017205, 6657818547, 8055792109, 7937297023, 8827458433, 10218617411, 11263264104, 12820127465, 13648522725, 16222244032, 18335919885, 20663212742, 21993348927, 19218248623, 19556329745, 19996432166, 20769268804, 21189597824, 20756163588
Algeria, Arable land area, 1000 ha, X, 7662, 7583, 7547, 7503.7, 7493, 7511, 7470, 7469, 7489, 7493, 7502, 7502, 7506.5, 7496.2, 7469.4, 7462.1, 7404.2, 7470.81, 7505.02, 7505.02, 7505.02
Algeria, Area equipped for full control irrigation: actually irrigated, 1000 ha, , , , , , , , , , , , , , 1012, , , , , , , , 
Algeria, Area equipped for full control irrigation: actually irrigated, 1000 ha, E, , 453.3, , , , , , , , , , , , , , , , , , , 
Algeria, Area equipped for full control irrigation: actually irrigated, 1000 ha, I, , , 504.09, 554.88, 605.67, 656.46, 707.25, 758.05, 808.84, 859.63, 910.42, 961.21, , 1012, 1012, 1012, 1012, 1012, 1012, 1012, 1012
Algeria, Area equipped for full control irrigation: localized irrigation, 1000 ha, , , , , , , , , , , , , , , , , 255, , 307, , , 
Algeria, Area equipped for full control irrigation: localized irrigation, 1000 ha, E, , , , , , , , , , , , , 220, , , , , , , , 
Algeria, Area equipped for full control irrigation: localized irrigation, 1000 ha, I, , , , , , , , , , , , , , 231.67, 243.33, , 267.3, , 307, 307, 307
Algeria, Area equipped for full control irrigation: sprinkler irrigation, 1000 ha, , , , , , , , , , , , , , , , , 362, , 409, , , 
Algeria, Area equipped for full control irrigation: sprinkler irrigation, 1000 ha, E, , , , , , , , , , , , , 270, , , , , , , , 
Algeria, Area equipped for full control irrigation: sprinkler irrigation, 1000 ha, I, 132, 143.5, 155, 166.5, 178, 189.5, 201, 212.5, 224, 235.5, 247, 258.5, , 300.67, 331.33, , 379.47, , 409, 409, 409
Algeria, Area equipped for full control irrigation: surface irrigation, 1000 ha, , , , , , , , , , , , , , , , , 585, , 596, , , 
Algeria, Area equipped for full control irrigation: surface irrigation, 1000 ha, E, , , , , , , , , , , , , 686.9, , , , , , , , 
Algeria, Area equipped for full control irrigation: surface irrigation, 1000 ha, I, , , , , , , , , , , , , , 652.93, 618.97, , 613.23, , 596, 596, 596
Algeria, Area equipped for full control irrigation: total, 1000 ha, , , 513.4, , , , , , , , , , , , , , , 1260, , , , 
Algeria, Area equipped for full control irrigation: total, 1000 ha, E, , , , , , , , , 909.6, , , , 1176.9, , , 1202, , 1312, , , 
Algeria, Area equipped for full control irrigation: total, 1000 ha, I, 505.86, , 570, 626.6, 683.2, 739.8, 796.4, 853, , 976.42, 1043.25, 1110.08, , 1185.27, 1193.63, , , , 1312, 1312, 1312
Algeria, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, , , , , , , , 0.41, , , , , , 1.2, , , , , , , , 
Algeria, Area equipped for irrigation by direct use of treated municipal wastewater, 1000 ha, I, , , , , , , , 0.54, 0.67, 0.81, 0.94, 1.07, , 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2
Algeria, Area equipped for irrigation by groundwater, 1000 ha, , , 351.9, , , , , , , , , , , 841.6, , , , , , , , 
Algeria, Area equipped for irrigation by groundwater, 1000 ha, I, 341.16, , 396.42, 440.94, 485.45, 529.97, 574.49, 619.01, 663.53, 708.05, 752.56, 797.08, , 841.6, 841.6, 841.6, 841.6, 841.6, 841.6, 841.6, 841.6
Algeria, Area equipped for irrigation by mixed surface water and groundwater, 1000 ha, , , 12, , , , , , , , , , , 14.2, , , , , , , , 
Algeria, Area equipped for irrigation by mixed surface water and groundwater, 1000 ha, I, , , 12.2, 12.4, 12.6, 12.8, 13, 13.2, 13.4, 13.6, 13.8, 14, , 14.2, 14.2, 14.2, 14.2, 14.2, 14.2, 14.2, 14.2
Algeria, Area equipped for irrigation by surface water, 1000 ha, , , 206.1, , , , , , , , , , , 372.9, , , , , , , , 
Algeria, Area equipped for irrigation by surface water, 1000 ha, I, 196.22, , 221.26, 236.43, 251.59, 266.75, 281.92, 297.08, 312.25, 327.41, 342.57, 357.74, , 372.9, 372.9, 372.9, 372.9, 372.9, 372.9, 372.9, 372.9
Algeria, Area equipped for irrigation drained, 1000 ha, I, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06
Algeria, Area equipped for irrigation: actually irrigated, 1000 ha, , , 453.3, , , , , , , , , , , 1065, , , , , , , , 
Algeria, Area equipped for irrigation: actually irrigated, 1000 ha, E, , , , , , , , , 816.9, , , , , , , , , , , , 
Algeria, Area equipped for irrigation: actually irrigated, 1000 ha, I, 443.63, , 505.24, 557.19, 609.13, 661.07, 713.01, 764.96, , 878.92, 940.95, 1002.98, , 1065, 1065, 1065, 1065, 1065, 1065, 1065, 1065
Algeria, Area equipped for irrigation: spate irrigation, 1000 ha, , , 56.05, , , , , , , 53, , , , , , , , , , , , 
Algeria, Area equipped for irrigation: spate irrigation, 1000 ha, I, 62.04, , 55.61, 55.18, 54.74, 54.31, 53.87, 53.44, , 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53
Algeria, Area equipped for irrigation: total, 1000 ha, E, , 569.45, , , , , , , 962.6, 1029.42, 1096.25, 1163.08, 1229.9, 1238.27, 1246.63, 1255, 1313, 1365, 1365, 1365, 1365
Algeria, Area equipped for irrigation: total, 1000 ha, I, 567.9, , 625.61, 681.78, 737.94, 794.11, 850.27, 906.44, , , , , , , , , , , , , 
Algeria, Cultivated area (arable land + permanent crops), 1000 ha, X, 8192, 8163, 8206, 8244.7, 8296, 8363, 8378, 8390, 8400, 8399, 8411, 8421, 8430.5, 8435.2, 8439.2, 8462.4, 8417.6, 8483.43, 8517.02, 8517.02, 8517.02
Algeria, Dam capacity per capita, m3/inhab, E, 161.27, 172.45, 171.28, 205.99, 211.4, 217.69, 233.53, 229.94, 226.21, 229.08, 227.34, 226.51, 222.13, 217.73, 213.35, 209.03, 204.78, 208.25, 204.11, 200.2, 196.56
Algeria, Dependency ratio, %, E, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, , 
Algeria, Dependency ratio, %, I, , , , , , , , , , , , , , , , , , , , 3.6, 3.6
Algeria, Exploitable: irregular renewable surface water, 10^9 m3/year, , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, , 
Algeria, Exploitable: irregular renewable surface water, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 5, 5
Algeria, Exploitable: regular renewable groundwater, 10^9 m3/year, , 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, , 
Algeria, Exploitable: regular renewable groundwater, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 1.9, 1.9
Algeria, Exploitable: regular renewable surface water, 10^9 m3/year, , 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, , 
Algeria, Exploitable: regular renewable surface water, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 1, 1
Algeria, Exploitable: total renewable surface water, 10^9 m3/year, E, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, , 
Algeria, Exploitable: total renewable surface water, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 6, 6
Algeria, Flood occurrence (WRI), , I, , , , , , , , , , , , , , , 2.8, 2.8, 2.8, 2.8, 2.8, 2.8, 2.8
Algeria, Flood occurrence (WRI), , X, , , , , , , , , , , , , , 2.8, , , , , , , 
Algeria, GDP Deflator (2015), , X, 56.6, 55.35, 54.09, 60.27, 72.65, 82.97, 92.52, 103.2, 127.67, 100.83, 114.35, 137.88, 139.38, 136.03, 133.58, 100, 93.43, 98.03, 99.9, 96.7, 87.74
Algeria, GDP per capita, current US$/inhab, X, 1761.05, 1750.53, 1783.68, 2103.38, 2610.18, 3113.09, 3478.71, 3950.51, 4923.63, 3883.27, 4480.79, 5455.84, 5592.22, 5499.59, 5493.05, 4177.88, 3946.45, 4109.7, 4153.96, 3975.52, 3367.96
Algeria, Gender Inequality Index (GII) [equality = 0; inequality = 1), , I, , 0.61, 0.59, 0.58, 0.57, , 0.54, 0.53, 0.52, 0.51, , 0.48, 0.45, , , 0.41, 0.41, 0.41, 0.41, 0.41, 0.41
Algeria, Gender Inequality Index (GII) [equality = 0; inequality = 1), , X, 0.62, , , , , 0.55, , , , , 0.51, , , 0.42, 0.41, , , , , , 
Algeria, Gross Domestic Product (GDP), current US$, X, 54666896857, 55056733057, 56819210891, 67863851626, 85332517817, 103198216067, 117027277939, 134977088396, 171000692135, 137211008421, 161207306305, 200019103013, 209059083118, 209755003251, 213809979480, 165979118791, 160034211700, 170096984537, 175415180411, 171158234285, 147688693830
Algeria, Groundwater produced internally, 10^9 m3/year, , 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, 1.49, , 
Algeria, Groundwater produced internally, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 1.49, 1.49
Algeria, Groundwater: accounted inflow, 10^9 m3/year, , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, , 
Algeria, Groundwater: accounted inflow, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.03, 0.03
Algeria, Groundwater: accounted outflow to other countries, 10^9 m3/year, E, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, , 
Algeria, Groundwater: accounted outflow to other countries, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.1, 0.1
Algeria, Groundwater: entering the country (total), 10^9 m3/year, , 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, , 
Algeria, Groundwater: entering the country (total), 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.03, 0.03
Algeria, Groundwater: leaving the country to other countries (total), 10^9 m3/year, , 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, , 
Algeria, Groundwater: leaving the country to other countries (total), 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.1, 0.1
Algeria, Harvested irrigated permanent crop area: Citrus, 1000 ha, , , , , , , , , , 41.88, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Citrus, 1000 ha, E, , 46, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Citrus, 1000 ha, I, , , 45.41, 44.82, 44.23, 43.65, 43.06, 42.47, , 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88, 41.88
Algeria, Harvested irrigated permanent crop area: Grapes, 1000 ha, , , , , , , , , , 9.04, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Grapes, 1000 ha, I, , , , , , , , , , 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04, 9.04
Algeria, Harvested irrigated permanent crop area: Grass and Fodder, 1000 ha, , , , , , , , , , 77.8, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Grass and Fodder, 1000 ha, E, , 9, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Grass and Fodder, 1000 ha, I, 10.07, , 18.83, 28.66, 38.49, 48.31, 58.14, 67.97, , 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8, 77.8
Algeria, Harvested irrigated permanent crop area: Oil palm, 1000 ha, , , , , , , , , , 140.2, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Oil palm, 1000 ha, I, , , , , , , , , , 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2, 140.2
Algeria, Harvested irrigated permanent crop area: Olives, 1000 ha, , , , , , , , , , 48.32, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Olives, 1000 ha, I, , , , , , , , , , 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32, 48.32
Algeria, Harvested irrigated permanent crop area: Other crops, 1000 ha, I, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145
Algeria, Harvested irrigated permanent crop area: Other fruits, 1000 ha, , , , , , , , , , 160.4, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Other fruits, 1000 ha, E, , 111, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Other fruits, 1000 ha, I, , , 118.06, 125.11, 132.17, 139.23, 146.29, 153.34, , 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4, 160.4
Algeria, Harvested irrigated permanent crop area: Total, 1000 ha, , , , , , , , , , 477.7, , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Total, 1000 ha, E, , 181, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated permanent crop area: Total, 1000 ha, I, , , 223.39, 265.77, 308.16, 350.54, 392.93, 435.31, , 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7, 477.7
Algeria, Harvested irrigated temporary crop area: Other cereals, 1000 ha, , , , , , , , , , 82.54, , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Other cereals, 1000 ha, I, 55.43, 58.82, 62.21, 65.6, 68.99, 72.38, 75.76, 79.15, , 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54, 82.54
Algeria, Harvested irrigated temporary crop area: Other crops, 1000 ha, , , , , , , , , , 24.76, , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Other crops, 1000 ha, E, , 15, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Other crops, 1000 ha, I, , , 16.39, 17.79, 19.18, 20.58, 21.97, 23.37, , 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76, 24.76
