Country, Variable, Unit, Symbol, "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Algeria, Harvested irrigated temporary crop area: Potatoes, 1000 ha, E, , 79, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Potatoes, 1000 ha, I, , , 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79
Algeria, Harvested irrigated temporary crop area: Tobacco, 1000 ha, E, , 5, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Tobacco, 1000 ha, I, , , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
Algeria, Harvested irrigated temporary crop area: Total, 1000 ha, , , , , , , , , , 380.5, , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Total, 1000 ha, E, , 272.3, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Total, 1000 ha, I, , , 287.76, 303.21, 318.67, 334.13, 349.59, 365.04, , 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5, 380.5
Algeria, Harvested irrigated temporary crop area: Vegetables, 1000 ha, , , , , , , , , , 273.2, , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Vegetables, 1000 ha, E, , 99, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Vegetables, 1000 ha, I, 98.73, , 123.89, 148.77, 173.66, 198.54, 223.43, 248.31, , 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2, 273.2
Algeria, Harvested irrigated temporary crop area: Wheat, 1000 ha, E, , 89.3, , , , , , , , , , , , , , , , , , , 
Algeria, Harvested irrigated temporary crop area: Wheat, 1000 ha, I, , , 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3, 89.3
Algeria, Human Development Index (HDI) [highest = 1], , I, , , , , , , , , , , , , , , , , , , , 0.76, 0.76
Algeria, Human Development Index (HDI) [highest = 1], , X, 0.65, 0.66, 0.67, 0.68, 0.69, 0.69, 0.7, 0.71, 0.71, 0.72, 0.73, 0.74, 0.74, 0.75, 0.75, 0.75, 0.76, 0.76, 0.76, , 
Algeria, Industry, value added to GDP, current US$, X, 29215848416, 26785782628, 27142553183, 33693400638, 43688149096, 58146769548, 67773111604, 76581236341, 98790830679, 64467031412, 80076456966, 97745688905, 98464669735, 91158249475, 88694034710, 57763994488, 53902989743, 60780815938, 66870271466, 62164532031, 45599037047
Algeria, Interannual variability (WRI), , I, , , , , , , , , , , , , , , 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3
Algeria, Interannual variability (WRI), , X, , , , , , , , , , , , , , 2.3, , , , , , , 
Algeria, Irrigated cropping intensity, %, E, , 100, 101.4, 102.54, 103.49, 104.3, 104.99, 105.58, 106.1, 99.83, 94.26, 89.28, 84.8, 84.8, 84.8, 84.8, 84.8, 84.8, 84.8, 84.8, 84.8
Algeria, Irrigation potential, 1000 ha, , 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, 1300, , , , , 
Algeria, Irrigation potential, 1000 ha, I, , , , , , , , , , , , , , , , , 1300, 1300, 1300, 1300, 1300
Algeria, Long-term average annual precipitation in depth, mm/year, , 89, , , , , , , , , , , , , , , , , , , , 
Algeria, Long-term average annual precipitation in depth, mm/year, I, , , , , , , , , , , , , , , , , , , , 89, 89
Algeria, Long-term average annual precipitation in depth, mm/year, X, , 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, , 
Algeria, Long-term average annual precipitation in volume, 10^9 m3/year, E, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, 211.97, , 
Algeria, Long-term average annual precipitation in volume, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 211.97, 211.97
Algeria, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, E, 48.28, 49.77, 51.8, 53.31, 54.83, 56.34, 57.86, 59.37, 60.88, 62.4, 63.91, 65.43, 66.86, , , 76.75, 79.11, 84.01, , , 
Algeria, MDG 7.5. Freshwater withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , , , , 70.15, 73.45, , , , 84.01, 84.01, 84.01
Algeria, National Rainfall Index (NRI), mm/year, I, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5, 241.5
Algeria, Non-irrigated cultivated area drained, 1000 ha, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Number of people undernourished (3-year average), 1000 inhab, I, , , , , , , , , , , , , , , , , , , , , 1200
Algeria, Number of people undernourished (3-year average), 1000 inhab, X, 2800, 3300, 2500, 2300, 2300, 2300, 2200, 2200, 2000, 1900, 1800, 1600, 1400, 1200, 1200, 1100, 1100, 1100, 1100, 1200, 
Algeria, Overlap between surface water and groundwater, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Overlap between surface water and groundwater, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Overlap: between surface water and groundwater, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 
Algeria, Overlap: between surface water and groundwater, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Permanent crops area, 1000 ha, X, 530, 580, 659, 741, 803, 852, 908, 921, 911, 906, 909, 919, 924, 939, 969.8, 1000.3, 1013.4, 1012.62, 1012, 1012, 1012
Algeria, Population density, inhab/km2, E, 13.03, 13.21, 13.37, 13.55, 13.73, 13.92, 14.12, 14.35, 14.58, 14.84, 15.11, 15.39, 15.7, 16.01, 16.34, 16.68, 17.03, 17.38, 17.73, 18.08, 18.41
Algeria, Prevalence of undernourishment (3-year average), %, I, , , , , , , , , , , , , , , , , , , , , 2.8
Algeria, Prevalence of undernourishment (3-year average), %, X, 9.1, 10.7, 8, 7.3, 7, 7, 6.7, 6.4, 5.9, 5.6, 5.1, 4.3, 3.8, 3.2, 3, 2.9, 2.8, 2.8, 2.7, 2.8, 
Algeria, Ratio between rainfed and irrigated yields, , , , , , , , , , , , , , , , , 2.21, , , , , , 
Algeria, Ratio between rainfed and irrigated yields, , E, , , 2.21, , , , 2.12, 2.21, , , , , 2.21, , , , , 2.21, , , 
Algeria, Ratio between rainfed and irrigated yields, , I, 2.21, 2.21, , 2.19, 2.17, 2.14, , , 2.21, 2.21, 2.21, 2.21, , 2.21, , 2.21, 2.21, , 2.21, 2.21, 2.21
Algeria, Rural population, 1000 inhab, X, 12498.85, 12411.94, 12317.85, 12221.44, 12127.44, 12040.49, 11959.9, 11885.69, 11818.95, 11765.34, 11723.94, 11695.48, 11677.5, 11664.03, 11647.65, 11623.28, 11589.54, 11547.53, 11498.04, 11442.59, 11382.34
Algeria, Rural population with access to safe drinking-water (JMP), %, I, , , , , , , , , , , , , , , , , 81.8, 81.8, 81.8, 81.8, 81.8
Algeria, Rural population with access to safe drinking-water (JMP), %, X, 84, 83.9, 83.7, 83.6, 83.4, 83.3, 83.1, 83, 82.8, 82.7, 82.5, 82.4, 82.2, 82.1, 81.9, 81.8, , , , , 
Algeria, SDG 6.4.1. Industrial Water Use Efficiency, US$/m3, E, 103.23, 98.18, 103.29, 116.78, 127.49, 150.85, 160.12, 164.76, 174.54, 146.56, 163.17, 167.95, 170.23, 211.18, 302.26, 473.48, 306.88, 324.62, 350.47, 336.59, 272.11
Algeria, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, US$/m3, E, 0.27, 0.32, 0.34, 0.41, 0.43, 0.38, 0.39, 0.43, 0.4, 0.59, 0.56, 0.56, 0.64, 0.71, 0.74, 0.84, 0.91, 0.86, 0.87, 0.92, 0.99
Algeria, SDG 6.4.1. Services Water Use Efficiency, US$/m3, E, 19.22, 20.41, 20.4, 19.61, 18.91, 17.57, 17.04, 18.03, 17.72, 21.04, 20.15, 20.54, 20.49, 21.76, 23.29, 26.47, 25.42, 23.47, 22.67, 23.28, 23.87
Algeria, SDG 6.4.1. Water Use Efficiency, US$/m3, E, , , , , , , , , , , , , 16.11, 15.65, 15.64, 15.37, 15.01, 14.55, 14.75, 14.74, 13.81
Algeria, SDG 6.4.1. Water Use Efficiency, US$/m3, I, 15.15, 14.91, 15.01, 15.49, 15.69, 16.45, 16.45, 16.67, 16.71, 15.98, 16.24, 16.29, , , , , , , , , 
Algeria, SDG 6.4.2. Water Stress, %, E, 79.26, 81.71, 85.04, 87.52, 90.01, 92.49, 94.98, 97.46, 99.95, 102.44, 104.92, 107.41, 109.75, 115.16, 120.58, 125.99, 129.87, 137.92, 137.92, 137.92, 137.92
Algeria, Seasonal variability (WRI), , I, , , , , , , , , , , , , , , 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9
Algeria, Seasonal variability (WRI), , X, , , , , , , , , , , , , , 1.9, , , , , , , 
Algeria, Services, value added to GDP, current US$, X, 18723168999, 20662330348, 21382417041, 24172736019, 29598747361, 32971231215, 37368366209, 46108779383, 58539844990, 57180458190, 64593303681, 82455340987, 86258889254, 90190777425, 95609764795, 82065603169, 80517018286, 82820624114, 81514148088, 81047434490, 75386032777
Algeria, Surface water produced internally, 10^9 m3/year, , 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, 9.76, , 
Algeria, Surface water produced internally, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 9.76, 9.76
Algeria, Surface water: accounted flow of border rivers, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: accounted flow of border rivers, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: accounted inflow, 10^9 m3/year, E, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, , 
Algeria, Surface water: accounted inflow, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.39, 0.39
Algeria, Surface water: entering the country (total), 10^9 m3/year, , 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, , 
Algeria, Surface water: entering the country (total), 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.39, 0.39
Algeria, Surface water: inflow not submitted to treaties, 10^9 m3/year, , 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, , 
Algeria, Surface water: inflow not submitted to treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.39, 0.39
Algeria, Surface water: inflow secured through treaties, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: inflow secured through treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: inflow submitted to treaties, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: inflow submitted to treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: leaving the country to other countries (total), 10^9 m3/year, , 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, , 
Algeria, Surface water: leaving the country to other countries (total), 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.32, 0.32
Algeria, Surface water: outflow to other countries not submitted to treaties, 10^9 m3/year, E, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, 0.32, , 
Algeria, Surface water: outflow to other countries not submitted to treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.32, 0.32
Algeria, Surface water: outflow to other countries secured through treaties, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: outflow to other countries secured through treaties, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: outflow to other countries secured through treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: outflow to other countries submitted to treaties, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: outflow to other countries submitted to treaties, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: total external renewable, 10^9 m3/year, E, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, 0.39, , 
Algeria, Surface water: total external renewable, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.39, 0.39
Algeria, Surface water: total flow of border rivers, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , 
Algeria, Surface water: total flow of border rivers, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , 
Algeria, Total agricultural water managed area, 1000 ha, E, , 569.45, , , , , , , 962.6, 1029.42, 1096.25, 1163.08, 1229.9, 1238.27, 1246.63, 1255, 1313, 1365, 1365, 1365, 1365
Algeria, Total agricultural water managed area, 1000 ha, I, 567.9, , 625.61, 681.78, 737.94, 794.11, 850.27, 906.44, , , , , , , , , , , , , 
Algeria, Total area of the country (excl. coastal water), 1000 ha, E, , , , , , , , , , , , , , , , , , 238174.1, 238174.1, 238174.1, 238174.1
Algeria, Total area of the country (excl. coastal water), 1000 ha, X, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, 238174, , , , 
Algeria, Total cultivated area drained, 1000 ha, I, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06, 61.06
Algeria, Total dam capacity, km3, E, 5.01, 5.42, 5.46, 6.65, 6.91, 7.22, 7.86, 7.86, 7.86, 8.09, 8.18, 8.3, 8.3, 8.3, 8.3, 8.3, 8.3, 8.62, 8.62, 8.62, 8.62
Algeria, Total exploitable water resources, 10^9 m3/year, E, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, 7.9, , 
Algeria, Total exploitable water resources, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 7.9, 7.9
Algeria, Total harvested irrigated crop area (full control irrigation), 1000 ha, , , , , , , , , , 858.2, , , , , , , , , , , , 
Algeria, Total harvested irrigated crop area (full control irrigation), 1000 ha, E, , 453.3, , , , , , , , , , , , , , , , , , , 
Algeria, Total harvested irrigated crop area (full control irrigation), 1000 ha, I, , , 511.14, 568.99, 626.83, 684.67, 742.51, 800.36, , 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2, 858.2
Algeria, Total internal renewable water resources (IRWR), 10^9 m3/year, E, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, 11.25, , 
Algeria, Total internal renewable water resources (IRWR), 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 11.25, 11.25
Algeria, Total internal renewable water resources per capita, m3/inhab/year, E, 362.31, 357.6, 353.07, 348.59, 344.03, 339.28, 334.32, 329.18, 323.84, 318.31, 312.61, 306.78, 300.85, 294.89, 288.95, 283.1, 277.35, 271.74, 266.34, 261.24, 256.48
Algeria, Total population, 1000 inhab, X, 31042.24, 31451.51, 31855.11, 32264.16, 32692.16, 33149.72, 33641, 34166.97, 34730.61, 35333.88, 35977.46, 36661.44, 37383.89, 38140.13, 38923.69, 39728.03, 40551.39, 41389.19, 42228.41, 43053.05, 43851.04
Algeria, Total population with access to safe drinking-water (JMP), %, I, , , , , , , , , , , , , , , , , 83.6, 83.6, 83.6, 83.6, 83.6
Algeria, Total population with access to safe drinking-water (JMP), %, X, 89.5, 89.2, 88.8, 88.5, 88.1, 87.7, 87.4, 87, 86.6, 86.2, 85.7, 85.3, 84.9, 84.5, 84, 83.6, , , , , 
Algeria, Total renewable groundwater, 10^9 m3/year, E, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, 1.52, , 
Algeria, Total renewable groundwater, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 1.52, 1.52
Algeria, Total renewable surface water, 10^9 m3/year, E, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, 10.15, , 
Algeria, Total renewable surface water, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 10.15, 10.15
Algeria, Total renewable water resources, 10^9 m3/year, E, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, 11.67, , 
Algeria, Total renewable water resources, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 11.67, 11.67
Algeria, Total renewable water resources per capita, m3/inhab/year, E, 375.84, 370.95, 366.25, 361.61, 356.87, 351.95, 346.81, 341.47, 335.93, 330.19, 324.29, 318.24, 312.09, 305.9, 299.74, 293.67, 287.71, 281.89, 276.28, 270.99, 266.06
Algeria, Urban population, 1000 inhab, X, 18684.81, 19180.21, 19677.2, 20182.07, 20703.65, 21247.95, 21818.01, 22414.38, 23041.77, 23700.42, 24393.7, 25124.08, 25888.35, 26674.53, 27465.66, 28248.25, 29016.51, 29770.61, 30510.02, 31236.43, 31950.91
Algeria, Urban population with access to safe drinking-water (JMP), %, I, , , , , , , , , , , , , , , , , 84.3, 84.3, 84.3, 84.3, 84.3
Algeria, Urban population with access to safe drinking-water (JMP), %, X, 93.2, 92.6, 92, 91.5, 90.9, 90.3, 89.7, 89.1, 88.5, 87.9, 87.3, 86.7, 86.1, 85.5, 84.9, 84.3, , , , , 
Algeria, Water resources: total external renewable, 10^9 m3/year, E, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, 0.42, , 
Algeria, Water resources: total external renewable, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , 0.42, 0.42