id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
1,2020-11-19,23.3,1.2,14.8,255,2.84,1
2,2020-11-20,21.2,0.0,12.5,29,3.39,1
3,2020-11-21,18.4,0.0,10.2,45,3.64,1
4,2020-11-22,18.3,0.0,10.0,72,3.63,1
5,2020-11-23,20.1,0.0,11.2,87,3.54,1
6,2020-11-24,20.9,0.0,12.5,113,3.82,1
7,2020-11-25,20.4,0.0,15.1,98,4.17,1
8,2020-11-26,21.0,0.0,21.4,56,4.45,1
9,2020-11-27,19.0,0.0,18.1,42,4.12,1
10,2020-11-28,19.0,0.0,14.8,51,3.78,1
11,2020-11-29,20.4,0.0,10.3,68,3.59,1
12,2020-11-30,20.8,0.0,9.2,63,3.49,1
13,2020-12-01,20.2,0.0,10.0,59,3.69,1
14,2020-12-02,20.9,0.0,10.9,67,3.8,1
15,2020-12-03,21.5,0.0,10.5,121,3.58,1
16,2020-12-04,21.5,0.0,10.4,167,3.69,1
17,2020-12-05,21.7,0.0,11.2,172,3.96,1
18,2020-12-06,22.8,0.0,10.0,145,3.58,1
19,2020-12-07,22.6,0.0,9.1,83,3.49,1
20,2020-12-08,22.2,0.0,9.5,127,3.73,1
21,2020-12-09,22.2,0.0,9.9,119,3.62,1
22,2020-12-10,22.3,0.0,9.1,129,3.21,1
23,2020-12-11,18.6,9.5,10.8,52,0.86,1
24,2020-12-12,18.3,6.5,9.2,148,0.97,1
25,2020-12-13,18.3,3.0,8.3,125,1.21,1
26,2020-12-14,18.7,6.0,9.0,92,1.05,1
27,2020-12-15,18.9,5.5,11.7,50,1.77,1
28,2020-12-16,16.8,2.6,13.8,45,1.67,1
29,2020-12-17,15.3,0.0,12.7,36,2.6,1
30,2020-12-18,14.4,0.0,9.4,31,2.65,1
31,2020-12-19,14.2,0.0,10.4,56,2.9,1
32,2020-12-20,15.9,0.0,12.0,57,3.26,1
33,2020-12-21,16.1,0.0,11.2,63,3.21,1
34,2020-12-22,16.2,0.0,12.1,103,3.35,1
35,2020-12-23,17.0,0.0,10.4,116,3.26,1
36,2020-12-24,17.3,0.0,11.2,84,3.32,1
37,2020-12-25,15.9,0.0,13.0,83,3.13,1
38,2020-12-26,17.0,0.0,10.7,109,3.14,1
39,2020-12-27,19.6,0.0,16.1,232,3.79,1
40,2020-12-28,15.6,0.0,15.3,359,3.7,1
41,2020-12-29,14.5,0.0,13.8,46,3.42,1
42,2020-12-30,15.0,0.0,14.6,50,2.85,1
43,2020-12-31,16.5,0.0,12.8,76,2.8,1
44,2021-01-01,18.6,0.0,14.3,121,3.4,1
45,2021-01-02,20.4,0.0,14.0,148,3.37,1
46,2021-01-03,20.7,0.0,12.7,153,3.27,1
47,2021-01-04,19.5,1.0,12.9,103,1.69,1
48,2021-01-05,19.4,0.4,16.7,136,2.08,1
49,2021-01-06,20.8,0.0,10.2,351,2.9,1
50,2021-01-07,20.9,0.1,12.2,77,2.84,1
51,2021-01-08,21.5,1.4,15.4,123,2.67,1
52,2021-01-09,19.6,6.2,9.4,54,1.33,1
53,2021-01-10,20.1,0.0,9.4,30,2.49,1
54,2021-01-11,19.5,0.0,13.8,11,2.44,1
55,2021-01-12,16.1,0.0,11.8,20,2.81,1
56,2021-01-13,14.5,0.0,9.6,53,3.08,1
57,2021-01-14,14.4,0.0,11.2,80,3.38,1
58,2021-01-15,16.8,0.0,11.1,91,3.46,1
59,2021-01-16,18.8,0.0,11.4,103,3.35,1
60,2021-01-17,21.5,0.0,12.7,124,3.83,1
61,2021-01-18,21.7,0.1,14.1,192,2.95,1
62,2021-01-19,20.7,0.0,13.4,322,3.26,1
63,2021-01-20,17.9,0.0,11.4,32,3.42,1
64,2021-01-21,19.9,0.0,10.2,54,3.79,1
65,2021-01-22,18.3,0.0,10.7,120,3.86,1
66,2021-01-23,19.6,0.0,14.2,249,3.9,1
67,2021-01-24,18.3,0.0,14.5,332,3.69,1
68,2021-01-25,16.3,0.0,15.3,34,3.06,1
69,2021-01-26,14.6,0.0,10.9,43,3.05,1
70,2021-01-27,13.7,0.0,12.3,43,3.42,1
71,2021-01-28,15.2,0.0,13.2,35,3.24,1
72,2021-01-29,13.5,0.0,12.8,43,3.45,1
73,2021-01-30,13.9,0.0,10.9,68,3.74,1
74,2021-01-31,15.2,0.0,11.2,74,3.93,1
75,2021-02-01,17.2,0.0,12.3,86,4.09,1
76,2021-02-02,19.0,0.0,12.6,151,4.26,1
77,2021-02-03,20.6,0.0,12.3,179,4.9,1
78,2021-02-04,20.7,0.0,21.3,218,4.93,1
79,2021-02-05,18.0,0.0,18.1,9,3.53,1
80,2021-02-06,16.3,0.0,17.9,33,3.91,1
81,2021-02-07,16.4,0.0,11.3,57,3.96,1
82,2021-02-08,18.4,0.0,10.2,40,4.05,1
83,2021-02-09,19.9,0.0,9.4,141,4.03,1
84,2021-02-10,20.7,0.0,10.8,344,4.4,1
85,2021-02-11,20.2,0.0,11.7,42,4.53,1
86,2021-02-12,20.4,0.0,12.5,60,4.81,1
87,2021-02-13,21.6,0.0,12.5,87,4.59,1
88,2021-02-14,22.6,0.0,11.2,169,4.41,1
89,2021-02-15,22.7,0.0,14.8,284,4.64,1
90,2021-02-16,21.1,1.1,21.0,245,3.87,1
91,2021-02-17,21.1,0.0,12.4,152,4.1,1
92,2021-02-18,20.8,0.1,15.3,98,3.78,1
93,2021-02-19,20.4,0.0,13.2,44,5.11,1
94,2021-02-20,20.1,0.0,15.4,59,5.03,1
95,2021-02-21,21.5,0.0,11.8,49,4.97,1
96,2021-02-22,22.4,0.0,9.8,9,4.81,1
97,2021-02-23,23.0,0.0,12.4,210,4.99,1
98,2021-02-24,24.1,0.0,13.1,267,5.33,1
99,2021-02-25,24.7,0.0,16.9,287,6.27,1
100,2021-02-26,24.6,0.0,15.1,281,6.29,1
101,2021-02-27,25.6,0.0,14.5,279,5.81,1
102,2021-02-28,25.6,0.0,16.3,291,5.77,1
103,2021-03-01,24.8,0.0,18.3,316,6.56,1
104,2021-03-02,22.5,0.0,11.6,34,5.41,1
105,2021-03-03,23.9,0.0,10.6,100,5.5,1
106,2021-03-04,25.6,0.0,15.0,245,6.93,1
107,2021-03-05,25.3,0.0,20.7,317,7.21,1
108,2021-03-06,26.1,0.0,14.7,267,6.67,1
109,2021-03-07,27.2,0.0,16.5,235,7.32,1
110,2021-03-08,27.1,0.0,15.9,255,7.21,1
111,2021-03-09,27.0,0.0,17.1,289,6.67,1
112,2021-03-10,26.7,0.0,17.0,295,6.07,1
113,2021-03-11,26.7,0.0,12.4,106,5.36,1
114,2021-03-12,24.0,1.0,20.3,90,5.01,1
115,2021-03-13,24.3,0.0,12.0,70,5.44,1
116,2021-03-14,25.8,0.0,11.2,108,5.56,1
117,2021-03-15,26.6,0.0,11.1,57,5.45,1
118,2021-03-16,26.7,0.0,9.2,85,4.8,1
119,2021-03-17,27.4,0.0,10.7,72,5.1,1
120,2021-03-18,26.6,0.4,11.3,137,4.72,1
121,2021-03-19,24.0,1.4,16.4,222,4.21,1
122,2021-03-20,25.9,0.0,21.8,249,6.06,1
123,2021-03-21,26.6,0.0,12.9,243,6.1,1
124,2021-03-22,27.5,0.1,22.5,188,6.75,1
125,2021-03-23,27.0,0.4,21.4,196,6.11,1
126,2021-03-24,26.7,0.0,17.4,271,6.21,1
127,2021-03-25,26.0,0.0,16.4,11,6.87,1
128,2021-03-26,26.1,0.0,13.4,26,6.42,1
129,2021-03-27,28.9,0.0,10.4,323,6.16,1
130,2021-03-28,30.0,0.0,13.2,302,7.38,1
131,2021-03-29,30.6,0.0,18.3,271,8.54,1
132,2021-03-30,30.7,0.0,24.3,276,10.1,1
133,2021-03-31,30.7,0.0,20.8,285,9.28,1
134,2021-04-01,28.5,0.0,14.4,350,7.06,1
135,2021-04-02,28.5,0.0,11.2,280,7.28,1
136,2021-04-03,28.2,0.0,13.2,38,7.02,1
137,2021-04-04,29.2,0.0,11.9,55,7.32,1
138,2021-04-05,31.1,0.0,14.7,270,7.7,1
139,2021-04-06,32.2,0.0,16.4,266,8.98,1
140,2021-04-07,31.5,0.0,17.3,298,8.82,1
141,2021-04-08,30.9,0.0,16.3,279,7.5,1
142,2021-04-09,30.0,0.0,17.6,15,7.5,1
143,2021-04-10,30.5,0.0,15.9,97,7.1,1
144,2021-04-11,29.4,0.3,20.0,179,7.09,1
145,2021-04-12,29.8,0.0,12.8,108,7.03,1
146,2021-04-13,30.7,0.0,13.4,188,7.18,1
147,2021-04-14,30.6,0.0,19.5,244,7.6,1
148,2021-04-15,29.6,0.0,12.7,207,6.13,1
149,2021-04-16,31.0,0.0,15.7,261,8.25,1
150,2021-04-17,30.1,0.0,16.7,300,7.63,1
151,2021-04-18,30.6,0.0,13.1,22,7.53,1
152,2021-04-19,31.3,0.0,14.0,199,6.79,1
153,2021-04-20,32.3,0.0,20.0,262,9.13,1
154,2021-04-21,29.5,0.0,19.6,282,7.07,1
155,2021-04-22,29.4,0.0,9.7,234,6.88,1
156,2021-04-23,30.7,0.0,14.6,242,7.95,1
157,2021-04-24,31.1,0.0,19.8,325,8.67,1
158,2021-04-25,30.0,0.0,14.6,19,8.25,1
159,2021-04-26,30.5,0.0,14.0,22,8.46,1
160,2021-04-27,31.6,0.0,13.6,109,7.54,1
161,2021-04-28,32.5,0.0,15.2,231,7.58,1
162,2021-04-29,32.7,0.0,17.7,243,8.16,1
163,2021-04-30,33.0,0.0,16.5,219,7.99,1
164,2021-05-01,32.3,0.0,23.1,240,8.64,1
165,2021-05-02,29.6,0.3,25.8,252,6.5,1
166,2021-05-03,29.6,0.0,16.3,235,7.27,1
167,2021-05-04,31.4,0.0,14.3,270,7.64,1
168,2021-05-05,32.9,0.0,16.2,290,9.02,1
169,2021-05-06,33.3,0.0,20.7,255,8.51,1
170,2021-05-07,33.1,0.0,15.0,281,7.78,1
171,2021-05-08,32.5,0.0,15.5,125,6.66,1
172,2021-05-09,31.4,0.0,20.4,124,6.62,1
173,2021-05-10,32.4,0.0,14.8,254,7.09,1
174,2021-05-11,32.3,0.0,19.4,273,9.0,1
175,2021-05-12,31.9,0.0,19.2,275,8.56,1
176,2021-05-13,30.9,0.0,18.7,288,7.09,1
177,2021-05-14,32.1,0.0,13.6,234,7.01,1
178,2021-05-15,33.4,0.0,19.5,173,7.61,1
179,2021-05-16,31.6,0.6,20.8,107,7.38,1
180,2021-05-17,27.2,6.7,19.1,92,4.14,1
181,2021-05-18,28.6,2.0,22.8,157,5.6,1
182,2021-05-19,27.4,2.9,28.2,212,5.33,1
183,2021-05-20,27.1,0.3,22.9,292,5.95,1
184,2021-05-21,30.5,0.0,15.5,272,6.2,1
185,2021-05-22,30.7,0.0,22.1,290,6.32,1
186,2021-05-23,30.9,0.0,21.7,312,6.81,1
187,2021-05-24,30.7,0.0,20.1,346,8.28,1
188,2021-05-25,32.2,0.0,24.4,330,9.35,1
189,2021-05-26,32.8,0.0,22.8,310,8.62,1
190,2021-05-27,32.9,0.0,23.2,299,8.49,1
191,2021-05-28,33.5,0.0,17.6,303,7.79,1
192,2021-05-29,32.6,0.1,18.3,283,7.49,1
193,2021-05-30,32.2,0.1,19.3,259,6.58,1
194,2021-05-31,32.1,0.0,16.1,239,6.72,1
195,2021-06-01,31.8,0.0,18.5,247,7.05,1
196,2021-06-02,31.5,0.0,21.8,293,7.18,1
197,2021-06-03,30.3,0.1,18.0,251,5.86,1
198,2021-06-04,29.6,0.7,15.5,245,5.28,1
199,2021-06-05,28.5,1.7,14.9,257,4.58,1
200,2021-06-06,29.1,0.0,14.0,254,4.67,1
201,2021-06-07,29.7,0.3,19.6,262,5.42,1
202,2021-06-08,30.1,3.8,20.7,253,6.12,1
203,2021-06-09,30.3,1.7,20.9,246,5.97,1
204,2021-06-10,30.8,0.7,24.3,264,6.25,1
205,2021-06-11,28.9,3.5,25.9,268,5.16,1
206,2021-06-12,29.4,4.1,20.9,269,5.68,1
207,2021-06-13,28.4,4.0,23.0,285,5.06,1
208,2021-06-14,28.3,3.9,22.7,275,5.11,1
209,2021-06-15,28.9,2.0,22.5,247,5.62,1
210,2021-06-16,29.4,0.0,21.4,248,5.95,1
211,2021-06-17,27.3,7.4,18.7,250,3.74,1
212,2021-06-18,26.6,18.0,20.4,250,3.9,1
213,2021-06-19,25.3,41.0,19.6,248,1.85,1
214,2021-06-20,24.5,13.8,22.9,242,2.64,1
215,2021-06-21,26.3,1.8,20.2,270,4.33,1
216,2021-06-22,27.2,3.1,18.6,275,4.37,1
217,2021-06-23,26.9,33.1,20.7,278,4.15,1
218,2021-06-24,26.4,15.3,21.6,276,3.42,1
219,2021-06-25,26.4,2.8,19.9,277,3.46,1
220,2021-06-26,27.4,2.8,20.0,294,4.55,1
221,2021-06-27,27.8,5.2,15.1,293,4.5,1
222,2021-06-28,28.4,0.8,12.4,274,4.92,1
223,2021-06-29,28.8,0.7,18.5,263,4.8,1
224,2021-06-30,28.9,1.0,19.4,260,5.41,1
225,2021-07-01,28.2,1.1,21.0,250,5.15,1
226,2021-07-02,28.0,0.2,23.8,255,5.55,1
227,2021-07-03,28.6,0.3,22.7,268,5.92,1
228,2021-07-04,28.1,1.1,17.0,275,5.41,1
229,2021-07-05,28.7,0.6,16.5,281,5.53,1
230,2021-07-06,29.9,0.1,18.2,284,5.94,1
231,2021-07-07,30.4,2.2,18.5,290,5.77,1
232,2021-07-08,26.9,25.4,16.9,247,3.68,1
233,2021-07-09,27.1,7.8,13.3,277,3.67,1
234,2021-07-10,27.6,12.1,15.3,265,4.3,1
235,2021-07-11,27.8,6.2,10.9,104,3.87,1
236,2021-07-12,27.9,2.1,17.9,113,4.93,1
237,2021-07-13,28.2,1.4,12.9,136,5.11,1
238,2021-07-14,27.9,11.6,9.0,68,4.3,1
239,2021-07-15,28.0,0.4,15.8,131,5.07,1
240,2021-07-16,28.3,0.6,17.4,156,5.42,1
241,2021-07-17,29.3,1.5,10.6,217,5.25,1
242,2021-07-18,27.8,1.6,12.3,242,3.82,1
243,2021-07-19,27.0,4.0,15.3,238,3.66,1
244,2021-07-20,24.5,27.0,23.3,248,1.64,1
245,2021-07-21,25.9,3.9,21.3,276,2.39,1
246,2021-07-22,25.2,33.3,24.0,297,1.46,1
247,2021-07-23,24.3,97.2,40.1,282,1.01,1
248,2021-07-24,24.5,75.1,32.4,278,1.38,1
249,2021-07-25,24.3,60.1,29.3,254,1.47,1
250,2021-07-26,24.7,27.3,29.7,253,2.65,1
251,2021-07-27,24.6,5.4,27.6,254,2.81,1
252,2021-07-28,23.9,12.6,22.2,250,1.62,1
253,2021-07-29,24.1,11.2,28.7,252,2.63,1
254,2021-07-30,24.0,20.5,25.5,258,1.64,1
255,2021-07-31,24.6,5.4,25.8,262,2.13,1
256,2021-08-01,23.4,73.1,30.7,261,1.63,1
257,2021-08-02,23.2,41.3,31.3,257,1.07,1
258,2021-08-03,24.2,13.9,30.7,242,3.06,1
259,2021-08-04,24.3,19.7,28.5,243,2.23,1
260,2021-08-05,23.9,40.1,23.9,267,1.41,1
261,2021-08-06,23.3,49.1,25.5,275,0.86,1
262,2021-08-07,24.0,14.4,24.9,262,1.93,1
263,2021-08-08,24.7,7.7,17.2,252,2.02,1
264,2021-08-09,25.4,18.1,18.9,275,2.73,1
265,2021-08-10,25.2,2.3,19.9,278,2.61,1
266,2021-08-11,25.5,0.2,19.7,273,3.68,1
267,2021-08-12,26.0,0.3,17.4,277,4.33,1
268,2021-08-13,26.0,1.1,15.5,269,4.68,1
269,2021-08-14,26.0,0.7,15.1,261,4.72,1
270,2021-08-15,25.9,1.0,13.2,275,4.35,1
271,2021-08-16,26.9,1.4,14.0,317,4.74,1
272,2021-08-17,25.7,28.0,12.5,316,3.03,1
273,2021-08-18,25.1,28.2,13.8,291,1.66,1
274,2021-08-19,24.3,45.0,15.9,288,1.67,1
275,2021-08-20,24.3,37.6,19.6,296,1.59,1
276,2021-08-21,24.1,53.7,9.7,238,1.5,1
277,2021-08-22,25.7,2.6,13.5,241,3.74,1
278,2021-08-23,25.8,1.3,15.3,251,3.98,1
279,2021-08-24,26.0,0.5,17.0,263,3.87,1
280,2021-08-25,25.6,0.7,20.9,262,3.77,1
281,2021-08-26,24.9,1.2,19.5,254,3.75,1
282,2021-08-27,25.3,0.2,13.7,266,3.74,1
283,2021-08-28,26.2,1.2,11.3,300,4.14,1
284,2021-08-29,25.8,22.5,13.1,342,3.49,1
285,2021-08-30,25.5,10.9,17.5,35,3.04,1
286,2021-08-31,25.3,9.1,14.5,95,2.75,1
287,2021-09-01,25.2,6.4,16.9,150,3.52,1
288,2021-09-02,25.2,19.1,15.3,204,2.99,1
289,2021-09-03,25.6,28.6,7.2,233,2.86,1
290,2021-09-04,25.1,8.1,11.2,265,2.37,1
291,2021-09-05,25.2,10.0,9.8,294,3.0,1
292,2021-09-06,26.1,6.1,13.2,13,3.13,1
293,2021-09-07,26.3,11.6,20.9,50,3.63,1
294,2021-09-08,24.8,19.9,16.3,136,2.5,1
295,2021-09-09,23.8,78.3,21.1,229,0.83,1
296,2021-09-10,23.9,7.9,22.1,234,1.56,1
297,2021-09-11,24.9,5.1,12.1,199,3.09,1
298,2021-09-12,25.3,3.5,11.5,206,3.28,1
299,2021-09-13,25.5,5.5,10.2,105,2.59,1
300,2021-09-14,25.4,16.9,13.2,17,2.66,1
301,2021-09-15,24.8,17.6,14.5,309,2.51,1
302,2021-09-16,24.3,14.2,22.7,270,2.13,1
303,2021-09-17,24.6,16.8,25.3,263,2.99,1
304,2021-09-18,23.9,6.6,26.7,228,2.0,1
305,2021-09-19,24.9,1.2,16.0,233,2.97,1
306,2021-09-20,24.5,16.8,10.2,236,2.28,1
307,2021-09-21,24.9,8.4,11.9,239,2.88,1
308,2021-09-22,25.6,3.0,9.4,176,3.66,1
309,2021-09-23,25.7,4.2,8.7,324,3.65,1
310,2021-09-24,25.8,3.9,10.1,300,3.02,1
311,2021-09-25,25.2,9.9,9.7,290,2.74,1
312,2021-09-26,25.1,1.2,10.5,10,2.74,1
313,2021-09-27,26.1,3.4,16.0,50,3.29,1
314,2021-09-28,26.1,1.7,22.3,93,4.2,1
315,2021-09-29,25.2,1.2,20.9,148,3.18,1
316,2021-09-30,25.9,2.2,8.9,80,3.79,1
317,2021-10-01,26.1,4.3,8.3,2,3.33,1
318,2021-10-02,26.0,5.4,10.6,283,3.61,1
319,2021-10-03,25.7,6.4,12.1,255,3.4,1
320,2021-10-04,26.5,0.7,7.9,287,3.79,1
321,2021-10-05,26.6,0.6,10.2,27,3.41,1
322,2021-10-06,26.6,1.1,9.7,26,3.44,1
323,2021-10-07,27.3,0.3,6.6,23,3.89,1
324,2021-10-08,26.9,0.2,8.6,290,3.96,1
325,2021-10-09,26.3,0.0,9.2,323,4.44,1
326,2021-10-10,26.5,0.0,10.5,315,4.42,1
327,2021-10-11,26.4,0.0,9.7,315,4.24,1
328,2021-10-12,26.5,0.0,9.7,303,4.57,1
329,2021-10-13,26.0,0.0,14.5,17,5.11,1
330,2021-10-14,25.1,0.0,13.0,9,5.25,1
331,2021-10-15,24.3,0.0,10.8,6,4.88,1
332,2021-10-16,26.2,0.7,11.8,45,4.12,1
333,2021-10-17,25.0,50.0,14.2,57,3.48,1
334,2021-10-18,23.9,6.4,15.5,293,2.29,1
335,2021-10-19,23.8,0.0,16.5,305,3.71,1
336,2021-10-20,23.1,0.0,11.0,298,4.26,1
337,2021-10-21,22.8,0.0,15.8,291,4.55,1
338,2021-10-22,23.0,0.0,10.8,260,4.42,1
339,2021-10-23,22.4,0.0,12.2,207,4.33,1
340,2021-10-24,22.6,0.0,9.2,242,3.99,1
341,2021-10-25,22.5,0.0,9.1,1,3.75,1
342,2021-10-26,22.2,0.1,9.0,46,3.48,1
343,2021-10-27,21.8,0.2,13.6,44,3.75,1
344,2021-10-28,20.9,0.0,12.2,42,4.19,1
345,2021-10-29,20.6,0.0,12.7,39,4.2,1
346,2021-10-30,20.3,0.0,10.1,8,3.91,1
347,2021-10-31,20.7,0.0,12.5,68,4.29,1
348,2021-11-01,21.7,0.0,10.5,99,4.31,1
349,2021-11-02,21.4,0.0,13.2,75,4.35,1
350,2021-11-03,21.1,0.0,11.4,52,4.3,1
351,2021-11-04,21.2,0.0,10.2,57,4.16,1
352,2021-11-05,21.3,0.0,11.0,50,4.12,1
353,2021-11-06,20.6,0.0,10.6,38,3.93,1
354,2021-11-07,20.4,0.0,11.7,58,3.56,1
355,2021-11-08,21.1,0.0,13.5,48,4.33,1
356,2021-11-09,21.1,0.0,11.6,43,4.29,1
357,2021-11-10,20.9,0.0,13.8,45,4.32,1
358,2021-11-11,20.6,0.0,15.5,41,4.57,1
359,2021-11-12,20.5,0.0,16.3,40,4.19,1
360,2021-11-13,20.9,0.0,15.3,40,4.14,1
361,2021-11-14,20.7,0.0,13.7,48,3.68,1
362,2021-11-15,20.3,0.0,12.0,46,3.97,1
363,2021-11-16,20.0,0.0,14.8,49,4.14,1
364,2021-11-17,21.7,0.0,14.3,62,3.93,1
365,2021-11-18,23.1,0.0,16.8,67,4.0,1
366,2021-11-19,22.7,0.0,14.2,71,3.51,1
